0,224.7273,-136.8383,309.4136
0.2003,641.767,83.6845,267.078
0.4003,743.8384,129.8194,254.1696
0.6007,1024.495,307.2025,236.9594
0.8008,1441.748,455.5259,217.5002
1.0005,2009.503,668.3881,157.9235
1.2006,2807.785,995.2314,84.2073
1.4008,3955.245,1377.641,-38.5447
1.6011,5633.505,1798.986,-179.1429
1.801,8236.854,2309.842,-390.182
2.0012,12279.57,3012.498,-691.8676
2.2011,18803.24,3395.453,-1008.471
2.4011,31275.82,3814.071,-1455.621
2.601,53159.95,3779.235,-2061.4
2.8012,92726.88,2380.237,-2371.679
3.0011,140632.5,-543.0014,-2470.662
3.2013,184407.5,-3335.001,-2223.271
3.4015,208897.6,-5543.811,-1502.121
3.6013,225418,-6736.251,-715.3119
3.8015,234893.1,-7130.384,-37.7206
4.0015,240341.6,-7528.11,478.0283
4.1015,240892.9,-6523.403,359.0564
4.2016,241747.7,-5305.84,348.3694
4.3017,242295,-4423.045,279.7246
4.4015,241734.6,-3797.612,259.9543
4.5015,243348.6,-2712.96,196.3239
4.6014,243660,-2179.636,149.9953
4.7015,243830.2,-1357.939,142.8301
4.8016,243943.2,-735.3306,330.0867
4.9015,245595.9,-483.392,242.0891
5.0014,245731.5,254.4403,249.965
5.0763,247388.5,898.6151,262.0286
5.1513,246168.8,1958.905,108.263
5.2263,245993.7,2111.052,-161.725
5.3012,248128.5,2620.23,-130.8428
5.3762,248716.9,3313.888,22.7021
5.4513,249637.4,3205.55,-92.0105
5.5262,251991,3716.379,106.8353
5.6011,252781.6,3489.296,120.5128
5.6762,253873.7,3686.197,225.5049
5.7512,255096.8,3360.169,632.3589
5.8013,251786.6,3582.435,429.1519
5.8513,252610.8,4359.388,510.3552
5.9012,252416.8,4774.698,374.3936
5.9513,253978.1,4702.531,564.048
6.0013,254000.6,4958.933,619.3101
